x_1,x_2,x_3,y
1.752800701,0.204248,0.204248,1
2.341229319,0.077341,0.077341,1
2.636877053,0.952141,0.952141,1
3.000844288,0.580645,0.580645,0
3.093357618,0.249796,0.249796,1
2.9568572,0.031352,0.031352,1
2.851562008,0.036732,0.036732,1
2.521812447,-0.004887,-0.004887,0
2.755623393,0.065071,0.065071,1
2.839577849,0.04438,0.04438,1
2.873501159,-0.0883,-0.0883,0
2.572856469,0.164649,0.164649,1
2.611311669,-0.002079,-0.002079,1
2.801264329,0.421875,0.421875,1
2.803896376,0.346154,0.346154,1
3.126378634,-0.084626,-0.084626,0
2.570051968,0.121879,0.121879,1
2.570451388,-0.080816,-0.080816,0
2.2490393,-0.036156,-0.036033,0
2.200522189,-0.038357,-0.038357,0
2.664449873,0.177382,0.177382,1
2.257293038,-0.033081,-0.033081,0
2.162728616,-0.064303,-0.064303,0
2.048326595,0.021145,0.021145,1
1.696344686,-0.020276,-0.020276,0
1.964021783,-0.050198,-0.050198,0
2.118062438,-0.032916,-0.032916,0
2.01173442,-0.037872,-0.037872,0
1.978793388,-0.146986,-0.146986,0
1.973801405,0.008178,0.008178,0
1.831305757,-0.06489,-0.06489,0
1.706543754,-0.022924,-0.022924,0
1.717025885,-0.055802,-0.055802,0
2.067366107,0.065816,0.065816,1
1.621992922,-0.056081,-0.056081,0
1.460378792,-0.034045,-0.034045,0
1.13955655,-0.060815,-0.060815,0
1.620816553,0.007358,0.007358,1
1.777366147,-0.021183,-0.021183,0
2.237322281,0.383582,0.383582,1
2.917721506,0.485437,0.485437,1
2.703031401,-0.197531,-0.197531,0
2.377323711,0.115385,0.115385,1
2.222624356,-0.055172,-0.055172,0
1.808732121,-0.047744,-0.04766,0
2.01201318,-0.087581,-0.087581,0
1.954274204,-0.113763,-0.113763,0
2.220764297,0.061891,0.061891,1
2.328014153,-0.011333,-0.011333,0
2.542420674,0.002729,0.002729,0
2.290067134,0.037017,0.037017,1
1.965302015,-0.055118,-0.055118,0
2.139275684,0.007222,0.007222,1
2.174333372,0.02096,0.02096,1
2.05413571,-0.041059,-0.041059,0
1.807779219,-0.044507,-0.044507,0
1.810462463,0.034788,0.034788,1
1.923199268,0.010403,0.009373,0
1.744247726,-0.062621,-0.062621,0
1.685680488,0.03168,0.03168,1
1.422204335,-0.059413,-0.059413,0
2.417072094,0.151171,0.151171,1
2.108578609,-0.04254,-0.04254,0
1.874362116,0.043142,0.043142,1
1.811714333,-0.054938,-0.054938,0
1.749347673,-0.096669,-0.096669,0
1.618819022,-0.080983,-0.080983,0
1.534471142,0.003147,0.003147,0.5
1.984969474,0.083137,0.083137,1
1.601404803,-0.02824,-0.02824,0
1.596747557,-0.087183,-0.087183,0
1.718948197,-0.140408,-0.140408,0
1.486429336,-0.036087,-0.036087,0
2.130982973,0.0867,0.0867,1
1.756070994,0.042611,0.042611,1
1.783347109,-0.029565,-0.029565,0
2.481331695,0.344086,0.344086,1
2.451966533,0.010633,0.010667,0
2.265302395,0.025983,0.025983,1
2.118806646,-0.105844,-0.105844,0
1.848204292,-0.05955,-0.05955,0
2.163288679,-0.065637,-0.065637,0
1.973411582,-0.133058,-0.133058,0
2.22717733,0.108675,0.108675,1
1.770472226,-0.030954,-0.030954,0
2.021141745,0.04614,0.04614,1
2.659938928,0.054283,0.054283,1
2.223955993,0.009654,0.009654,1
1.93868749,-0.116335,-0.116335,0
1.87620695,-0.043282,-0.043282,0
1.758232035,-0.02639,-0.02639,0
1.83778593,-0.097613,-0.097773,0
1.738198884,-0.112323,-0.112323,0
1.973769156,0.029484,0.029484,1
2.09348551,0.015513,0.015513,1
2.067815439,0.090482,0.090482,1
2.477119896,0.116379,0.116379,1
2.414390725,0.028958,0.028958,1
2.148625765,-0.124765,-0.124765,0
1.612727079,0.031083,0.031083,1
1.867373503,-0.106029,-0.106029,0
1.619226195,-0.056977,-0.056977,0
1.486070939,0.006165,0.006165,1
2.017778833,0,0,0.5
1.918641486,-0.121324,-0.121324,0
1.816119162,-0.016736,-0.016736,0
1.620320549,-0.065248,-0.065248,0
1.63029333,-0.080425,-0.080425,0
1.685000714,0.069307,0.069307,1
1.809749025,-0.195988,-0.195988,0
2.477130351,0.190019,0.190019,1
1.962418872,-0.030645,-0.030645,0
2.22298395,-0.013311,-0.013311,0
1.923037669,0,0,1
2.204478562,0.05059,0.05059,1
2.122103969,-0.075441,-0.075441,0
1.945675731,-0.008681,-0.008681,0
1.784731748,0.022767,0.022767,1
2.023899783,0.05137,0.05137,1
2.088122356,0.034202,0.034202,1
2.307167274,0.077165,0.077165,1
2.238973554,-0.068713,-0.068713,0
2.472588956,0.237049,0.237049,1
2.548559544,0.114213,0.114213,1
2.37880676,-0.138952,-0.138952,0
2.229015349,-0.111111,-0.111111,0
2.001147291,0.075893,0.075893,1
2.275837232,0.128631,0.128631,1
2.45073183,0.170343,0.170343,1
2.659997673,0.324607,0.324607,1
2.695515541,0.143874,0.143874,1
2.794142212,0.322046,0.322046,1
2.547809,-0.004182,-0.004182,1
2.634393167,-0.008924,-0.008924,0
2.605674167,0.37447,0.37447,1
2.468168816,0.105588,0.105588,1
