name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
		ChangeInWorkingCapital,"-265,000,000","604,000,000","-173,000,000","4,000,000","-700,000,000","521,000,000","-203,000,000","37,000,000","-562,000,000","467,000,000","-261,000,000","186,000,000","-439,000,000","580,900,000","-248,500,000","155,800,000","-348,200,000","554,800,000",
			ChangeInReceivables,"93,000,000"
				ChangesInAccountReceivables,"93,000,000"
			ChangeInInventory,"248,000,000"
			ChangeInPrepaidAssets,"-54,000,000"
			ChangeInPayablesAndAccruedExpense,"-513,000,000"
				ChangeInPayable,"-429,000,000"
					ChangeInAccountPayable,"-429,000,000"
				ChangeInAccruedExpense,"-84,000,000"
			ChangeInOtherCurrentLiabilities,"21,000,000"
			ChangeInOtherWorkingCapital,"-60,000,000","809,000,000",,,,,,,,,,"186,000,000","-439,000,000","403,200,000",,,,"501,600,000",
		DividendReceivedCFO,"0",,,,,"0","0","0","0","0","1,000,000","0","3,000,000","200,000","0",,,"3,600,000",
InvestingCashFlow,"-309,000,000","-160,000,000","-173,000,000","265,000,000","-240,000,000","-143,000,000","-118,000,000","-104,000,000","-145,000,000","-113,000,000","-39,000,000","-103,000,000","27,000,000","-78,400,000","-77,600,000","-90,100,000","284,100,000","194,000,000","-69,327,682.006"
	CashFlowFromContinuingInvestingActivities,"-309,000,000","-160,000,000","-173,000,000","265,000,000","-240,000,000","-143,000,000","-118,000,000","-104,000,000","-145,000,000","-113,000,000","-39,000,000","-103,000,000","27,000,000","-78,400,000","-77,600,000","-90,100,000","284,100,000","194,000,000","-69,327,682.006"
		CapitalExpenditureReported,,,,,,,,,,,,"-104,000,000","-114,000,000","-87,300,000","-106,100,000","-91,200,000","-115,400,000","-81,300,000",
		NetPPEPurchaseAndSale,"-496,000,000","-126,000,000","-128,000,000","-94,000,000","-148,000,000","-143,000,000","-117,000,000","-104,000,000","-145,000,000","-113,000,000","-115,000,000","-103,000,000","-111,000,000","8,600,000","-104,600,000","-90,700,000","-113,000,000","-65,300,000","-69,324,505.971"
			PurchaseOfPPE,"-526,000,000","-144,000,000","-132,000,000","-98,000,000","-152,000,000","-154,000,000","-118,000,000","-110,000,000","-145,000,000","-133,000,000","-117,000,000","-104,000,000","-114,000,000","-86,800,000","-106,100,000","-91,200,000","-115,400,000","-81,300,000","-77,844,202.789"
			SaleOfPPE,"30,000,000","18,000,000","4,000,000","4,000,000","4,000,000","11,000,000","1,000,000","6,000,000","0","20,000,000","2,000,000","1,000,000","3,000,000","8,600,000","1,500,000","500,000","2,400,000","16,000,000","8,519,696.818"
		NetBusinessPurchaseAndSale,"188,000,000","-34,000,000","-45,000,000","359,000,000","-92,000,000","0","-1,000,000","0","0","0","76,000,000","0","138,000,000","100,000","27,800,000","0","397,100,000","259,400,000","-201,985.022"
			PurchaseOfBusiness,"-177,000,000","-34,000,000","-40,000,000","-7,000,000","-96,000,000","-1,000,000","0",,,,,,,"0","0","0","0","1,200,000","-201,985.022"
			SaleOfBusiness,"365,000,000","0","-5,000,000","366,000,000","4,000,000",,,"0","0","0","76,000,000","0","138,000,000","100,000","27,800,000","0","397,100,000","258,200,000",
		NetOtherInvestingChanges,"-1,000,000","0","0",,,"0","0",,,,,,,"0","-800,000",,,"-100,000","198,808.987"
FinancingCashFlow,"-1,025,000,000","-645,000,000","-281,000,000","-414,000,000","326,000,000","-940,000,000","287,000,000","-301,000,000","68,000,000","-590,000,000","-193,000,000","-479,000,000","70,000,000","-583,100,000","-147,800,000","-135,900,000","-306,200,000","-767,300,000","237,332,725.856"
	CashFlowFromContinuingFinancingActivities,"-1,025,000,000","-645,000,000","-281,000,000","-414,000,000","326,000,000","-940,000,000","287,000,000","-301,000,000","68,000,000","-590,000,000","-193,000,000","-479,000,000","70,000,000","-583,100,000","-147,800,000","-135,900,000","-306,200,000","-767,300,000","237,332,725.856"
		NetIssuancePaymentsOfDebt,"217,000,000","-236,000,000","58,000,000","-207,000,000","613,000,000","-592,000,000","597,000,000","107,000,000","364,000,000","-355,000,000","222,000,000","-218,000,000","258,000,000","858,700,000","291,100,000","414,700,000","-237,900,000","-381,000,000","245,251,258.665"
			NetLongTermDebtIssuance,"181,000,000","-236,000,000","58,000,000","-207,000,000","613,000,000","-592,000,000","597,000,000","107,000,000","364,000,000","26,000,000","222,000,000","-218,000,000","258,000,000","2,219,900,000","1,174,900,000","-1,990,900,000","-77,300,000","-354,700,000","-160,248,741.335"
				LongTermDebtIssuance,"522,000,000","-236,000,000","58,000,000","-207,000,000","613,000,000","496,000,000","551,000,000","11,000,000","8,000,000","788,000,000","1,000,000","0","1,000,000","1,991,800,000","1,156,700,000","-1,683,100,000","1,728,000,000","6,208,500,000","-2,064,087,540.311"
				LongTermDebtPayments,"-341,000,000","-4,000,000","-324,000,000","12,000,000","-25,000,000","-568,000,000","-1,000,000","-277,000,000","-402,000,000","-408,000,000","-1,000,000","0","-123,000,000","-2,131,800,000","18,200,000","-307,800,000","-1,805,300,000","-6,563,200,000","1,903,040,386.993"
			NetShortTermDebtIssuance,"36,000,000","-739,000,000","358,000,000","-220,000,000","637,000,000","-523,000,000","47,000,000","372,000,000","757,000,000","-739,000,000","221,000,000","-220,000,000","380,000,000","-204,900,000","-883,800,000","2,405,600,000","-160,600,000","-26,300,000",
				ShortTermDebtIssuance,"94,000,000","-681,000,000","275,000,000","-203,000,000","703,000,000",,"115,000,000","338,000,000","795,000,000",,,,,,,,,,
				ShortTermDebtPayments,"-58,000,000",,,"-17,000,000","-66,000,000",,"-68,000,000","34,000,000","-38,000,000",,,,,,,,,,
